Question	Answer	ArticleFile
What are cymbals made of?	brass	data/set2/a6

What are cymbals made of?	NULL	data/set2/a6

How many cymbals typically go in a drum kit?	at least 3	data/set2/a6

How many cymbals typically go in a drum kit?	NULL	data/set2/a6

What kinds of musical groups use cymbals?	Cymbals are used in modern orchestras and many military, marching, concert and other bands	data/set2/a6

What kinds of musical groups use cymbals?	NULL	data/set2/a6

NULL	NULL	data/set1/a7

NULL	NULL	data/set1/a7

NULL	NULL	data/set1/a7

NULL	NULL	data/set1/a7

NULL	NULL	data/set1/a7

NULL	NULL	data/set1/a7

NULL	NULL	data/set1/a7

NULL	NULL	data/set1/a7

NULL	NULL	data/set1/a7

Are dragonflies capable of walking?	NULL	data/set1/a7

Are dragonflies capable of walking?	NULL	data/set1/a7

Do dragonfly nymphs ever hunt on land?	NULL	data/set1/a7

Do dragonfly nymphs ever hunt on land?	NULL	data/set1/a7

Do dragonflies spend most of their lives in their adult form?	NULL	data/set1/a7

Do dragonflies spend most of their lives in their adult form?	NULL	data/set1/a7

What are dragonfly larvae known as?	NULL	data/set1/a7

What are dragonfly larvae known as?	NULL	data/set1/a7

On what continent have dragonflies often been seen as sinister?	NULL	data/set1/a7

On what continent have dragonflies often been seen as sinister?	NULL	data/set1/a7

In how many directions can the adult dragonfly propel itself?	NULL	data/set1/a7

In how many directions can the adult dragonfly propel itself?	NULL	data/set1/a7

What is the hobby of seeking out dragonflies and damselflies called?	NULL	data/set1/a7

What is the hobby of seeking out dragonflies and damselflies called?	NULL	data/set1/a7

In what country are dragonflies used as a food source?	NULL	data/set1/a7

In what country are dragonflies used as a food source?	NULL	data/set1/a7

Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?	NULL	data/set1/a7

Which culture has a legend that claims that trolls sent dragonflies to poke out their enemies' eyes?	NULL	data/set1/a7

Is the dragonfly associated with late summer as well as early autumn?	Yes	data/set1/a7

Does Exposure to air cause the larva to begin breathing?	Yes (capitalization).	data/set1/a7

Is it characterized by large multifaceted eyes, two pairs of strong transparent wings, and an elongated body?	Yes.	data/set1/a7

Is the drum a member of the percussion group?	yes	data/set2/a4

Is the drum a member of the percussion group?	yes	data/set2/a4

Does each type of drum head serve its own musical purpose?	yes	data/set2/a4

Does each type of drum head serve its own musical purpose?	yes	data/set2/a4

Is the Aburukuwa a type of drum?	yes	data/set2/a4

Is the Aburukuwa a type of drum?	yes	data/set2/a4

How long has the basic design of the drum remained unchanged?	remained virtually unchanged for thousands of years	data/set2/a4

How long has the basic design of the drum remained unchanged?	thousands of years	data/set2/a4

What is the second biggest factor affecting the sound produced by a drum?	tension	data/set2/a4

What is the second biggest factor affecting the sound produced by a drum?	the tension at which the drum head is held against the shell of the drum.	data/set2/a4

By what name are drums classified as under the percussion group?	membranophone	data/set2/a4

By what name are drums classified as under the percussion group?	membranous	data/set2/a4

How do rock and roll drummers like their drumheads?	rock and roll drummer may prefer drums that sound loud and deep	data/set2/a4

How do rock and roll drummers like their drumheads?	drums that sound loud and deep	data/set2/a4

Whare is the name for drums that have a set of wires held across some of all of the drum heads?	snares	data/set2/a4

Had the drums been used in Sri Lanka since Before Christ?	yes	data/set2/a4

Had the drums been used in Sri Lanka since Before Christ?	yes	data/set2/a4

Is the drum a member of the percussion group?	yes	data/set2/a4

Is the drum a member of the percussion group?	yes	data/set2/a4

Are drums often used in music therapy?	yes	data/set2/a4

Are drums often used in music therapy?	yes	data/set2/a4

Do drums consist of at least eight membranes?	no	data/set2/a4

Do drums consist of at least eight membranes?	no	data/set2/a4

What has the most effect on how a drum sounds?	the drumhead	data/set2/a4

What has the most effect on how a drum sounds?	the drumhead	data/set2/a4

Who constructed a kit using diatonic and chromatically tuned drums?	Terry Bozzio	data/set2/a4

Who constructed a kit using diatonic and chromatically tuned drums?	Terry Bozzio	data/set2/a4

Drums are usually played by what?	the hands, or by one or two sticks	data/set2/a4

Drums are usually played by what?	the hands	data/set2/a4

Has the design of drums changed recently?	no	data/set2/a4

Has the design of drums changed recently?	no	data/set2/a4

Can some cylindrical shell drums have no drum heads?	no	data/set2/a4

Can some cylindrical shell drums have no drum heads?	no	data/set2/a4

Does every drumhead make the same sound?	no	data/set2/a4

Does every drumhead make the same sound?	no	data/set2/a4

Aren't drums often used in music therapy?	Yes, drums are often used in music therapy.	data/set2/a4

Aren't drums usually played by the hands?	Yes.	data/set2/a4

Are drums usually played by the hands?	Yes	data/set2/a4

Do many such drums have six to ten tension rods?	Yes.	data/set2/a4

Do drums consist of at least one membrane, called a drumhead or drum skin, that is stretched over a shell and struck, either directly with parts of a player's body, or with some sort of implement such as a drumstick, to produce sound?	yes	data/set2/a4

Have other techniques been used to cause drums to make sound, such as the ``Thumb roll''?	Yes	data/set2/a4

Is the electric eel a true eel?	No	data/set1/a8

Is the electric eel a true eel?	No, the electric eel is not a true eel.	data/set1/a8

Are most eels predators?	Yes	data/set1/a8

Are most eels predators?	Yes, most eels are predators.	data/set1/a8

Is eel blood toxic to humans?	Yes	data/set1/a8

Is eel blood toxic to humans?	Yes, eel blood is toxic to humans.	data/set1/a8

How many species of true eels are there?	approximately 800 species	data/set1/a8

How many species of true eels are there?	There are approximately 800 species of true eels.	data/set1/a8

Where is smoked eel considered a delicacy?	Northern Germany, The Netherlands, Denmark, Sweden	data/set1/a8

Where is smoked eel considered a delicacy?	Smoked eel is considered a delicacy in northern Germany, The Netherlands, Denmark and Sweden.	data/set1/a8

How do eels begin life?	As flat and transparent larvae, called leptocephali	data/set1/a8

How do eels begin life?	Eels begin life as flat and transparent larvae, called leptocephali.	data/set1/a8

What types of fins do eels have?	Dorsal, anal, caudal, tail fins	data/set1/a8

What types of fins do eels have?	Eels have dorsal and anal fins fused with a tail fin. Some also have  pectoral fins.	data/set1/a8

What do leptocephali eat?	Marine snow	data/set1/a8

What do leptocephali eat?	Leptocephali eat small particles called marine snow.	data/set1/a8

Do all eels live in fresh water?	No	data/set1/a8

Do all eels live in fresh water?	No, not all eels live in fresh water.	data/set1/a8

Is Finnish an official language of the European Union?	Yes	data/set5/a5

Is Finnish an official language of the European Union?	Yes, Finnish is an official language of the European Union.	data/set5/a5

Are the dialects of Finnish divided into two groups?	Yes	data/set5/a5

Are the dialects of Finnish divided into two groups?	Yes, the dialects of Finnish are divided into two groups.	data/set5/a5

Is Finnish threatened by English?	No	data/set5/a5

Is Finnish threatened by English?	No, Finnish is not threatened by English.	data/set5/a5

When did Proto-Uralic language arrive in Finland?	Around 1900 BCE	data/set5/a5

When did Proto-Uralic language arrive in Finland?	Proto-Uralic language arrived in Finland around 1900 BCE.	data/set5/a5

What are characteristic features of Finnish?	Vowel harmony and an agglutinative morphology	data/set5/a5

What are characteristic features of Finnish?	Characteristic features of Finnish are vowel harmony and an agglutinative morphology.	data/set5/a5

Where is the Kven language spoken?	Norway	data/set5/a5

Where is the Kven language spoken?	The Kven language is spoken in Northern Norway.	data/set5/a5

For how long has the classification of dialects spoken outside of Finland been a controversial issue?	Since Finland's independence in 1917	data/set5/a5

For how long has the classification of dialects spoken outside of Finland been a controversial issue?	The classification of dialects spoken outside of Finland has been a controversial issue since Finland's independence in 1917.	data/set5/a5

Who wrote the first novel in Finnish?	Aleksis Kivi	data/set5/a5

Who wrote the first novel in Finnish?	The first novel in Finnish was published by Aleksis Kivi.	data/set5/a5

What book defined the official Finnish language?	The Dictionary of Contemporary Finnish	data/set5/a5

What book defined the official Finnish language?	The Dictionary of Contemporary Finnish defined the official Finnish language.	data/set5/a5

What is the earliest extant transverse flute?	it dates from 433 BC	data/set2/a5

What is the earliest extant transverse flute?	Chi	data/set2/a5

When does a flute produce sound?	when a stream of air directed across a hole in the instrument creates a vibration of air at the hole	data/set2/a5

When does a flute produce sound?	When a stream of air directed across a hole in the instrument creats a vibration of air at the hole.	data/set2/a5

How can a flute's volume be increased?	a flute's volume can generally be increased by making its resonator and tone holes larger	data/set2/a5

How can a flute's volume be increased?	A flute's volume can be increased by making its resonator and tone holes larger.	data/set2/a5

Do open-ended flutes have brighter timbres?	yes	data/set2/a5

Do open-ended flutes have brighter timbres?	Yes.	data/set2/a5

Where was the oldest flute ever discovered found?	Germany	data/set2/a5

Where was the oldest flute ever discovered found?	Various parts of Germany.	data/set2/a5

Are Western flutes simpler than Indian flutes?	no	data/set2/a5

Are Western flutes simpler than Indian flutes?	Yes.	data/set2/a5

Why is a police whistle very wide for its pitch?	A flute's volume can generally be increased by making its resonator and tone holes larger	data/set2/a5

Why is a police whistle very wide for its pitch?	It's volume is high either because of its larger resonator or larger tone holes.	data/set2/a5

What are the two main varieties of Indian flutes?	The first, the Bansuri. The second, the Venu or Pullanguzhal	data/set2/a5

What are the two main varieties of Indian flutes?	Bansuri and the Venu or Pullanguzhal.	data/set2/a5

Has the flute been dated to prehistoric times?	yes	data/set2/a5

Has the flute been dated to prehistoric times?	Yes	data/set2/a5

Was the pan flute used in Greece?	yes	data/set2/a5

Was the pan flute used in Greece?	Yes	data/set2/a5

Can a flute be played with several different air sources?	yes	data/set2/a5

Can a flute be played with several different air sources?	Yes	data/set2/a5

When was the pan flute used in Greece?	the 7th century BC	data/set2/a5

When was the pan flute used in Greece?	7th century BC	data/set2/a5

When did concert flutes begin appearing in concert ensembles?	the 16th-century	data/set2/a5

When did concert flutes begin appearing in concert ensembles?		data/set2/a5

How many main varieties of Indian flutes are currently used?	two	data/set2/a5

How many main varieties of Indian flutes are currently used?	Two	data/set2/a5

What material is a chi flute fashioned from?	lacquered bamboo	data/set2/a5

What material is a chi flute fashioned from?	Lacquered bamboo	data/set2/a5

How does a flute player change the pitch of the sound?	by opening and closing holes in the body of the instrument	data/set2/a5

How does a flute player change the pitch of the sound?	Opening and closing holes in the body of the instrument	data/set2/a5

What is the most basic form of the flute?	a flute can be an open tube which is blown like a bottle	data/set2/a5

What is the most basic form of the flute?	Open tube which is blown like a bottle	data/set2/a5

Has the dragon historically served as China's national emblem?	yes	data/set1/a4

Has the dragon historically served as China's national emblem?	Yes	data/set1/a4

Do pandas hibernate?	no	data/set1/a4

Do pandas hibernate?	No	data/set1/a4

Do giant pandas attack humans?	yes	data/set1/a4

Do giant pandas attack humans?	Yes	data/set1/a4

What family is the panda a part of?	Ursidae (bear)	data/set1/a4

What family is the panda a part of?	Ursidae	data/set1/a4

How long does it take for the panda cubs skin to turn gray?	one to two weeks after birth	data/set1/a4

How long does it take for the panda cubs skin to turn gray?	One to two weeks	data/set1/a4

How many different names did Chinese writings give to the panda?	20	data/set1/a4

How many different names did Chinese writings give to the panda?	20	data/set1/a4

What foods do pandas eat?	bamboo	data/set1/a4

What foods do pandas eat?	bamboo, honeys, eggs, fish, yams, shrub leaves, oranges, and bananas	data/set1/a4

What are the two subspecies of giant pandas?	Ailuropoda melanoleuca melanoleuca and  Ailuropoda melanoleuca qinlingensis 	data/set1/a4

What are the two subspecies of giant pandas?	Ailuropoda melanoleuca melanoleuca and The Qinling Panda, Ailuropoda melanoleuca qinlingensis	data/set1/a4

What is panda diplomacy?	Loans of Giant Pandas to American and Japanese zoos	data/set1/a4

What is panda diplomacy?	Loans of Giant Pandas to American and Japanese zoos	data/set1/a4

Is the Giant Panda a mammal?	yes	data/set1/a4

Is the Giant Panda a mammal?	Yes	data/set1/a4

Is the Giant Panda a terrestrial animal?	yes	data/set1/a4

Is the Giant Panda a terrestrial animal?	Yes	data/set1/a4

Is the Giant Panda an endangered species?	yes	data/set1/a4

Is the Giant Panda an endangered species?	Yes	data/set1/a4

Where do Giant Pandas live?	a few mountain ranges in central china	data/set1/a4

Where do Giant Pandas live?	Sichuan province, Shaanxi and Gansu provinces	data/set1/a4

When was the Giant Panda's genome sequenced?	2009	data/set1/a4

When was the Giant Panda's genome sequenced?	2009	data/set1/a4

How many subspecies of the Giant Panda are there?	Two	data/set1/a4

How many subspecies of the Giant Panda are there?	Two	data/set1/a4

Is the Giant Panda a carnivore?	Yes	data/set1/a4

Why is the Giant Panda an endangered species?	threatened by habitat loss	data/set1/a4

Why is the Giant Panda an endangered species?	It is threatened by continued habitat loss and by a very low birthrate	data/set1/a4

Is the population of wild Giant  Pandas growing?	according to some reports, yes	data/set1/a4

Is the population of wild Giant  Pandas growing?	Yes but uncertain	data/set1/a4

Is an acoustic guitar dependent on an external device?	No	data/set2/a7

Is an acoustic guitar dependent on an external device?	No.	data/set2/a7

Is the battente smaller than a classical guitar?	Yes	data/set2/a7

Is the battente smaller than a classical guitar?	Yes.	data/set2/a7

Is the flamenco guitar similar to the classical guitar?	Yes	data/set2/a7

Is the flamenco guitar similar to the classical guitar?	Yes.	data/set2/a7

Where is the headstock located?	end of the guitar neck furthest from the body	data/set2/a7

Where is the headstock located?	At the end of the guitar.	data/set2/a7

Whom are guitars made and repaired by?	luthiers	data/set2/a7

Whom are guitars made and repaired by?	Luthiers.	data/set2/a7

What are modern guitar strings constructed of?	metal, polymers, animal or plant product materials	data/set2/a7

What are modern guitar strings constructed of?	Metal, polymers, or animal or plant product materials.	data/set2/a7

Why are Harp Guitars difficult to classify?	as there are many variations within this type of guitar	data/set2/a7

Why are Harp Guitars difficult to classify?	There are many variations within this type.	data/set2/a7

What is the bridge used for?	transfer the vibration from the strings to the soundboard	data/set2/a7

What is the bridge used for?	The transfer of string vibrations.	data/set2/a7

Which guitars use three single-coil pickups?	Fender Statocaster type guitars	data/set2/a7

Which guitars use three single-coil pickups?	Fender Stratocaster type guitars.	data/set2/a7

Is a guitar an instrument?	Yes	data/set2/a7

Is a guitar an instrument?	yes	data/set2/a7

Can guitars be divided into two broad categories?	Yes	data/set2/a7

Can guitars be divided into two broad categories?	yes	data/set2/a7

Do picks come in many shapes and sizes?	Yes	data/set2/a7

Do picks come in many shapes and sizes?	yes	data/set2/a7

How many strings does a guitar typically have?	Six	data/set2/a7

How many strings does a guitar typically have?	six	data/set2/a7

What is located at the end of the guitar neck furthest from the body?	Headstock	data/set2/a7

What is located at the end of the guitar neck furthest from the body?	headstock	data/set2/a7

What are most electric guitar bodies made of?	Wood	data/set2/a7

What are most electric guitar bodies made of?	wood	data/set2/a7

Why do some people believe that left-handed people should learn to play guitars as right-handed people do?	to standardise the instrument	data/set2/a7

Why do some people believe that left-handed people should learn to play guitars as right-handed people do?	to standardise the instrument	data/set2/a7

How old is the oldest known representation of a guitar-like intrument being played?	3,300 years old	data/set2/a7

How old is the oldest known representation of a guitar-like intrument being played?	3,300 years old	data/set2/a7

What is the point called that is bolted or glued to the body of the guitar?	Neck Joint	data/set2/a7

What is the point called that is bolted or glued to the body of the guitar?	Neck joint or 'Heel'	data/set2/a7

Did Becquerel study science at the École des Ponts et Chaussées?	Yes	data/set4/a9

Did he become chief engineer in the Department of Bridges and Highways in 1892?	No	data/set4/a9

Did he become chief engineer in the Department of Bridges and Highways in 1892?	yes	data/set4/a9

Was Becquerel a French physicist?	Yes	data/set4/a9

Was Becquerel a French physicist?	yes	data/set4/a9

Whom did he share the Nobel Prize with?	Pierre and Marie Curie	data/set4/a9

Whom did he share the Nobel Prize with?	Pierre and Marie Curie	data/set4/a9

When did he die?	1908	data/set4/a9

When did he die?	1908	data/set4/a9

What is the SI unit for radioactivity called?	becquerel	data/set4/a9

What is the SI unit for radioactivity called?	the becquerel (Bq)	data/set4/a9

When Becquerel discovered radioactivity, whose work did he investigate?	Wilhelm Conrad Röntgen	data/set4/a9

When Becquerel discovered radioactivity, whose work did he investigate?	Wilhelm Conrad RÃ¶ntgen	data/set4/a9

Where are there craters named Becquerel?	Moon and Mars	data/set4/a9

Where are there craters named Becquerel?	on the moon and on mars	data/set4/a9

Why did Bequerel win the Nobel Prize in Physics?	discovery of spontaneous radioactivity	data/set4/a9

Why did Bequerel win the Nobel Prize in Physics?	was the discoverer of radioactivity	data/set4/a9

Was Isaac Newton British?	Yes.	data/set4/a1

Was Isaac Newton British?	Yes, he was English.	data/set4/a1

Was Isaac Newton religious?	It is not clear.	data/set4/a1

Was Isaac Newton religious?	Yes, he was highly religious, though an unorthodox Christian.	data/set4/a1

Did Isaac Newton die in 1898?	No.	data/set4/a1

Did Isaac Newton die in 1898?	No, Newton died in his sleep in London on 31 March 1727.	data/set4/a1

Where was Isaac Newton born?	At Woolsthorpe Manor in Woosthorpe-by-Colsterworth.	data/set4/a1

Where was Isaac Newton born?	He was born at Woolsthorpe Manor in Woolsthorpe-by-Colsterworth, a hamlet in the county of Lincolnshire.	data/set4/a1

Who shares credit with Isaac Newton for developing calculus?	Gottfried Leibniz.	data/set4/a1

Who shares credit with Isaac Newton for developing calculus?	Newton shares the credit with Gottfried Leibniz for the development of the differential and integral calculus.	data/set4/a1

When did Isaac Newton discover the generalized binomial theorem?	In 1665.	data/set4/a1

When did Isaac Newton discover the generalized binomial theorem?	In 1665.	data/set4/a1

Did the Occult influence Newton's theory of gravitation?	Yes.	data/set4/a1

Did the Occult influence Newton's theory of gravitation?	If Newton had not relied on the occult idea of action at a distance, he might not have developed his theory of gravity.	data/set4/a1

Were Newton's religious views consistent with Anglicanism?	No.	data/set4/a1

Were Newton's religious views consistent with Anglicanism?	No, a conflict between Newton's religious views and Anglican orthodoxy was averted.	data/set4/a1

Which fruit inspired Isaac Newton's theory of gravitation?	The apple.	data/set4/a1

Which fruit inspired Isaac Newton's theory of gravitation?	Isaac Newton's theory of gravitation was inspired by watching the fall of an apple from a tree.	data/set4/a1

Was Sir Isaac Newton an English physicist and mathematician?	yes	data/set4/a1

Was Sir Isaac Newton an English physicist and mathematician?	yes	data/set4/a1

Did he build the first practical reflecting telescope?	yes	data/set4/a1

Was Isaac Newton educated at The King's Schol, Grantham?	yes	data/set4/a1

Was Isaac Newton educated at The King's Schol, Grantham?	yes	data/set4/a1

Where was Isaac Newton born?	Woolsthorpe Manor in Woolsthorpe-by-Colsterworth	data/set4/a1

Where was Isaac Newton born?	Woolsthorpe Manor in Woolsthorpe-by-Colsterworth	data/set4/a1

When was the Principia published?	1687	data/set4/a1

When was the Principia published?	1687	data/set4/a1

Where is there a Newton statue on display?	Oxford University Museum of Natural History 	data/set4/a1

Where is there a Newton statue on display?	Oxford University Museum of Natural History	data/set4/a1

Where was Isaac Newton buried?	Westminster Abbey	data/set4/a1

Where was Isaac Newton buried?	Westminster Abbey	data/set4/a1

What religion did Isaac Newton follow?	he never made a public declaration of his private faith	data/set4/a1

What religion did Isaac Newton follow?	unorthodox Christian	data/set4/a1

What food gave Isaac Newton clues to his theory of gravity?	apple	data/set4/a1

What food gave Isaac Newton clues to his theory of gravity?	apple	data/set4/a1

Who was a farmer and later a land surveyor for the government?	 LeRoy Pollock was a farmer and later a land surveyor for the government.	data/set6/a9

Regarding this topic, what did David Alfaro Siqueiros do?	Pollock was introduced to the use of liquid paint in 1936 at an experimental workshop operated in New York City by the Mexican muralist David Alfaro Siqueiros.	data/set6/a9

Who used hardened brushes, sticks,?	Jackson Pollock used hardened brushes, sticks.	data/set6/a9

When were his papers donated by Lee Krasner?	In 1983.	data/set6/a9

Did Free Jazz feature a Pollock painting as its cover artwork?	Yes.	data/set6/a9

Was Paul Jackson Pollock an influential American painter as well as a major figure in the abstract expressionist movement?	Yes, Pollock was an influential American painter and a major figure in the abstract expressionist movement.	data/set6/a9

Give an example of the origins of the term action painting. 	Pollock's technique of pouring and dripping paint is thought to be one of the origins of the term action painting.	data/set6/a9

During his lifetime, did Pollock enjoy considerable fame and notoriety?	Yes.	data/set6/a9

Was he regarded as a mostly reclusive artist?	Yes, he was regarded as a mostly reclusive artist. 	data/set6/a9

Is the Wisma building the tallest building in Indonesia?	yes	data/set3/a5

Is the Wisma building the tallest building in Indonesia?	Yes,	data/set3/a5

is there a chinese community in jakarta?	yes	data/set3/a5

is there a chinese community in jakarta?	Yes.	data/set3/a5

Is Jakarta the 12th largest city in the world?	yes	data/set3/a5

Is Jakarta the 12th largest city in the world?	Yes.	data/set3/a5

What is the capital of Indonesia?	Jakarta	data/set3/a5

What is the capital of Indonesia?	The capital of Indonesia is Jakarta.	data/set3/a5

What is the official name of Jakarta?	Daerah Khusus Ibukota Jakarta	data/set3/a5

What is the official name of Jakarta?	Daerah Khusus.	data/set3/a5

How is the climate in the city?	Jakarta has a hot and humid equatorial/tropical climate 	data/set3/a5

How is the climate in the city?	The city is hot and humid.	data/set3/a5

Where does the name of the city Jakarta come from?	The name Jakarta is derived from the Sanskrit word "Jayakarta."	data/set3/a5

How is the city's governor chosen?	election	data/set3/a5

How is the city's governor chosen?	Through election.	data/set3/a5

Why does Jakarta suffer frequent flooding?	Because it is located approximately eight meters above the sea level	data/set3/a5

Why does Jakarta suffer frequent flooding?	The fact that the northern part of Jakarta lies on a plain, approximately eight meters above the sea level.	data/set3/a5

Is the the biggest university in Jakarta the University of Indonesia	yes	data/set3/a5

Is Jakarta a city	yes	data/set3/a5

Is Jakarta a city	Yes	data/set3/a5

Is the most important river the Ciliwung River	yes	data/set3/a5

Is the most important river the Ciliwung River	Yes	data/set3/a5

Where is Jakarta located	northwest coast of Java	data/set3/a5

Where is Jakarta located	On the northwest coast of Java	data/set3/a5

Who created Monas Park	General Herman Willem Deandels	data/set3/a5

Who created Monas Park	Dutch Governor General Herman Willem Deandels	data/set3/a5

Do mikrolets travel on the main roads?	no	data/set3/a5

Do mikrolets travel on the main roads?	No	data/set3/a5

What contributes to frequent flooding in Jakarta	Jakarta lies on a plain eight meters, approximately eight meters above the sea level.	data/set3/a5

What contributes to frequent flooding in Jakarta	It lies on a plain, approximately eight meters above the sea level	data/set3/a5

Did the economy improve in Jakarta in 2007	yes	data/set3/a5

Did the economy improve in Jakarta in 2007	Yes	data/set3/a5

In AD 39, King Purnawarman established Sunda Pura as a new capital city for the kingdom, located at the northern coast of where?	Java	data/set3/a5

In 1602, the British East India Company's first voyage, commanded by Sir who, arrived in Aceh and sailed on to Banten where they were allowed to build a trading post?	James Lancaster	data/set3/a5

Who began control of migration to the city in order to stem the overcrowding and poverty?	Lieutenant General Ali Sadikin began control of migration to the city in order to stem the overcrowding and poverty.	data/set3/a5

Did Jayawikarta's soldiers attack the Dutch fortress?	yes	data/set3/a5

Did Suharto resign as president?	Yes	data/set3/a5

Was the Jakarta area part of the fourth century Indianized kingdom of Tarumanagara?	Yes	data/set3/a5

Do other landmarks include the Istiqlal Mosque as well as Jakarta Cathedral?	Yes	data/set3/a5

Give an example of the many Sukarno era monuments in the city. 	The West Irian Liberation Statue is one of the many Sukarno era monuments in the city. 	data/set3/a5

Is Jakarta the country's economic, cultural and political center?	Yes.	data/set3/a5

Is James Watt French?	No, he was Scottish.	data/set4/a2

Is James Watt French?	No	data/set4/a2

Did James Watt improve an engine?	Yes, his improvements to the Newcomen steam engine were fundamental to the changes brought by the Industrial Revolution.	data/set4/a2

Did James Watt improve an engine?	Yes	data/set4/a2

Is there a statue of Watt in the White House?	No, a colossal statue of Watt by Chantrey was placed in Westminster Abbey, and later was moved to St. Paul's Cathedral.	data/set4/a2

Is there a statue of Watt in the White House?	No	data/set4/a2

What was James Watt's father's job?	His father was a shipwright, ship owner and contractor, and served as the town's chief baillie.	data/set4/a2

What was James Watt's father's job?	His father was a shipwright, ship owner and contractor, and served as the town's chief baillie.	data/set4/a2

When did Watt retire?	In 1800.	data/set4/a2

When did Watt retire?	Watt retired in 1800.	data/set4/a2

Where is the James Watt Memorial College?	In Greenock.	data/set4/a2

Where is the James Watt Memorial College?	The James Watt Memorial  is in Greenock.	data/set4/a2

Why is the watt named after Watt?	The watt is named after him for his contributions to the development of the steam engine.	data/set4/a2

Why is the watt named after Watt?	The watt is named after James Watt for his contributions to the development of the steam engine.	data/set4/a2

Where did Watt attend university?	Watt did not attend school regularly.	data/set4/a2

Where did Watt attend university?	He did not attend a university.	data/set4/a2

What did he invent?	He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures.	data/set4/a2

What did he invent?	He invented a new method of measuring distances by telescope, a device for copying letters, improvements in the oil lamp, a steam mangle and a machine for copying sculptures.	data/set4/a2

Was James Watt a member of the Lunar Society?	NULL	data/set4/a2

Was James Watt a member of the Lunar Society?	NULL	data/set4/a2

Did James Watt marry his cousin?	NULL	data/set4/a2

Did James Watt marry his cousin?	NULL	data/set4/a2

Was Watt married to Agnes Muirhead?	NULL	data/set4/a2

Was Watt married to Agnes Muirhead?	NULL	data/set4/a2

How old was James Watt when his mother died?	NULL	data/set4/a2

How old was James Watt when his mother died?	NULL	data/set4/a2

In what year did Watt retire?	NULL	data/set4/a2

In what year did Watt retire?	NULL	data/set4/a2

Where was Watt buried?	NULL	data/set4/a2

Where was Watt buried?	NULL	data/set4/a2

When did Watt set up his workshop at the University of Glasgow?	NULL	data/set4/a2

When did Watt set up his workshop at the University of Glasgow?	NULL	data/set4/a2

Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker?	NULL	data/set4/a2

Why did the Glasgow Guild of Hammermen reject Watt's application to become a mathematical instrument maker?	NULL	data/set4/a2

How old was Watt when he died?	NULL	data/set4/a2

How old was Watt when he died?	NULL	data/set4/a2

What happened in the early 20th century?	The koalas of South Australia were largely exterminated.	data/set1/a3

Do Koalas have a slow metabolism?	yes	data/set1/a3

Did eucalypt forests grow in the place of rainforests?	Yes, the koala did not specialise in a diet of eucalyptus until the climate cooled and eucalypt forests grew in the place of rainforests.	data/set1/a3

Does the koala fill the same ecological role as the sloth of South America?	The koala fills the same ecological role as the sloth of South America.	data/set1/a3

Is the long term viability of the koala therefore threatened by genetic weakness?	The long term viability of the koala is therefore threatened by genetic weakness.	data/set1/a3

Is the koala found in coastal regions of eastern and southern Australia, from near Adelaide to the southern part of Cape York Peninsula?	yes	data/set1/a3

Do populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands?	Populations also extend for considerable distances inland in regions with enough moisture to support suitable woodlands.	data/set1/a3

Were the koalas of South Australia largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock?	The koalas of South Australia were largely exterminated during the early part of the 20th century, but the state has since been repopulated with Victorian stock.	data/set1/a3

Is Korean the official language of Korea?	Yes	data/set5/a6

Is Korean the official language of Korea?	Yes	data/set5/a6

Is the word "Korean" derived from Goryeo?	Yes	data/set5/a6

Is the word "Korean" derived from Goryeo?	yes	data/set5/a6

Are all dialects of Korean similar to each other?	Yes	data/set5/a6

Are all dialects of Korean similar to each other?	Yes	data/set5/a6

About how many Koreans speakers are there?	78 million	data/set5/a6

About how many Koreans speakers are there?	78 million Korean speakers	data/set5/a6

Older English sources used the name "Korean" to refer to what?	language, country, and people	data/set5/a6

Older English sources used the name "Korean" to refer to what?	language, country, and people	data/set5/a6

What is the official language of North Korea?	Korean	data/set5/a6

What is the official language of North Korea?	Korean	data/set5/a6

Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?	English does not have an identical grammatical category	data/set5/a6

Why may English translation of Koreans adjectives misleadingly suggest that they are verbs?	English does not have an identical grammatical category	data/set5/a6

Where do the majority of loanwords other than Sino-Korean come from?	modern times	data/set5/a6

